id,car_name,car_brand,car_tag,price,new_price,complexOutlook,firstCert,odograph,allPower,carBelong,range,isDome,wheelBase,drivingMode
115723441,特斯拉 Model 3 2021款 标准续航后驱升级版,特斯拉,Model 3,219800,289538,8成新,2021-03,5.9万公里,202kW,上海(沪),468km,0,2875,后置后驱
116001390,特斯拉 Model 3 2019款 标准续航后驱升级版,特斯拉,Model 3,203500,316740,8成新,2020-04,3.9万公里,175kW,成都(川),460km,0,2875,后置后驱
116272970,特斯拉 Model 3 2020款 改款 标准续航后驱升级版,特斯拉,Model 3,205800,292751,8成新,2020-12,3.7万公里,202kW,深圳(粤),468km,0,2875,后置后驱
116508517,特斯拉 Model Y 2021款 标准续航后驱版,特斯拉,Model Y,309900,316783,9成新,2021-10,0.6万公里,220kW,金华(浙),525km,0,2890,后置后驱
116354673,五菱汽车 宏光MINI EV 2020款 自在款 磷酸铁锂,五菱,宏光MINI EV,29500,35603,9成新,2021-04,0.9万公里,20kW,淄博(鲁),120km,1,1940,后置后驱
116483616,五菱汽车 宏光MINI EV 2020款 自在款 三元锂,五菱,宏光MINI EV,28800,35603,95成新,2021-04,0.8万公里,20kW,孝感(鄂),120km,1,1940,后置后驱
115779941,威马汽车 威马EX5 2020款 EX5 400 即客行版,威马汽车,威马EX5,99800,159347,9成新,2021-05,2.9万公里,160kW,长沙(湘),400km,1,2703,前置前驱
116365856,五菱汽车 宏光MINI EV 2021款 马卡龙臻享款 磷酸铁锂,五菱,宏光MINI EV,42800,47326,9成新,2021-05,0.7万公里,20kW,重庆(渝),170km,1,1940,后置后驱
116127504,欧拉黑猫 2021款 351km 豪华型,欧拉,欧拉黑猫,58800,86620,9成新,2020-08,1.6万公里,35kW,信阳(豫),351km,1,2475,前置前驱
116370245,特斯拉 Model 3 2021款 标准续航后驱升级版 3D6,特斯拉,Model 3,260000,273256,99成新,2021-12,0.2万公里,220kW,福州(闽),468km,0,2875,后置后驱
115778468,五菱汽车 宏光MINI EV 2020款 自在款 磷酸铁锂,五菱,宏光MINI EV,28800,35603,95成新,2021-04,0.7万公里,20kW,孝感(鄂),120km,1,1940,后置后驱
116541738,华晨新日i03 2021款 标准型,华晨新日,华晨新日i03,63800,82278,99成新,2021-12,800公里,45kW,无锡(苏),410km,1,2185,前置前驱
116392305,R汽车 MARVEL R 2021款 后驱PRO版,R汽车,MARVEL R,196500,260295,99成新,2022-02,200公里,137kW,惠州(粤),505km,1,2800,后置后驱
116194109,五菱汽车 宏光MINI EV 2020款 自在款 磷酸铁锂,五菱,宏光MINI EV,31300,35603,99成新,2022-02,100公里,20kW,呼和浩特(蒙),120km,1,1940,后置后驱
116365544,五菱汽车 宏光MINI EV 2020款 自在款 磷酸铁锂,五菱,宏光MINI EV,30800,35603,9成新,2021-01,0.3万公里,20kW,济宁(鲁),120km,1,1940,后置后驱
116369834,小鹏汽车P7 2022款 670E+,小鹏汽车,小鹏汽车P7,273000,310227,99成新,2022-02,0.2万公里,196kW,郑州(豫),670km,1,2998,后置后驱
116421934,五菱汽车 宏光MINI EV 2020款 自在款 磷酸铁锂,五菱,宏光MINI EV,29500,35603,9成新,2020-12,0.6万公里,20kW,晋中(晋),120km,1,1940,后置后驱
115900600,东风 俊风ER30 2018款 基本型,东风,俊风ER30,32600,162603,6成新,2018-12,1.7万公里,60kW,襄阳(鄂),255km,1,2450,前置前驱
